taxpayer_id,taxpayer_name,sector,region,annual_revenue_usd,late_filings_last_12m,fiscal_device_uptime_pct,vat_to_sales_ratio,outstanding_debt_zig,previous_audit_violations,prediction_score
ZIM-TEST-300037,Chipo Gara,Tourism,Mash West,116433.71,1,91.57,0.1462,3937.3,1,0.0
ZIM-TEST-300038,Nomsa Marange,Manufacturing,Bulawayo,69921.73,2,80.37,0.1201,14806.51,0,0.0
ZIM-TEST-300039,Tendai Zhou,Manufacturing,Midlands,195263.15,2,73.21,0.1349,18690.18,0,0.0
ZIM-TEST-300040,Sekai Mutasa,Manufacturing,Harare,53916.26,2,89.76,0.1076,10553.31,0,0.0
ZIM-TEST-300041,Tinashe Chigumba,Manufacturing,Mash West,222816.59,1,70.57,0.1399,8432.63,0,2.0
ZIM-TEST-300042,Chipo Mpofu,Retail,Masvingo,37411.1,3,76.65,0.1509,7193.34,0,0.0
ZIM-TEST-300043,Farai Chigumba,Tourism,Harare,64339.28,2,86.5,0.1493,24645.75,0,0.0
ZIM-TEST-300044,Tatenda Gumbo,Tourism,Harare,41928.36,1,93.63,0.1093,6718.84,3,0.0
ZIM-TEST-300045,Tinashe Dube,Agriculture,Manicaland,35517.04,4,84.6,0.1388,2004.83,1,1.0
ZIM-TEST-300046,Blessing Mutasa,Manufacturing,Masvingo,26963.65,3,97.47,0.1579,9334.98,0,0.0
ZIM-TEST-300047,Munyaradzi Ndlovu,Manufacturing,Mash West,70016.44,0,70.61,0.1133,47773.56,0,0.0
ZIM-TEST-300048,Nyasha Sibanda,Mining,Harare,45831.13,2,75.91,0.1193,5035.37,0,0.0
ZIM-TEST-300049,Farai Ndlovu,Retail,Manicaland,91090.61,0,96.89,0.1503,25450.95,0,0.0
ZIM-TEST-300050,Nomsa Musoni,Retail,Masvingo,106053.8,1,90.59,0.1534,8719.27,1,0.0
ZIM-TEST-300051,Kumbirai Dube,Services,Midlands,79477.78,0,72.81,0.1339,3531.91,0,0.0
ZIM-TEST-300052,Tendai Ncube,Tourism,Mash West,25648.73,1,94.21,0.1092,5611.98,1,0.0
ZIM-TEST-300053,Shingai Ndlovu,Tourism,Midlands,127085.55,1,89.89,0.1147,16046.2,0,0.0
ZIM-TEST-300054,Chipo Mapfumo,Services,Manicaland,152124.26,7,84.35,0.1282,4874.78,0,42.0
ZIM-TEST-300055,Nomsa Chigumba,Tourism,Manicaland,159184.03,1,89.97,0.1338,33879.36,0,0.0
ZIM-TEST-300056,Kumbirai Dube,Manufacturing,Midlands,113649.05,2,71.1,0.1317,1021.8,0,0.0
ZIM-TEST-300057,Tinashe Dube,Mining,Harare,57195.63,2,74.28,0.1279,2044.72,0,1.0
ZIM-TEST-300058,Blessing Mapfumo,Agriculture,Bulawayo,43423.25,1,72.14,0.1352,3860.75,0,0.0
ZIM-TEST-300059,Shingai Mapfumo,Tourism,Harare,233676.95,0,95.71,0.147,14552.41,0,0.0
ZIM-TEST-300060,Nomsa Ncube,Manufacturing,Manicaland,93183.54,0,92.78,0.1288,49861.59,1,0.0
ZIM-TEST-300061,Sekai Zhou,Agriculture,Bulawayo,123868.61,3,86.28,0.1504,10934.5,1,0.0
ZIM-TEST-300062,Ruvimbo Mpofu,Services,Manicaland,142554.46,2,78.23,0.1297,19731.68,0,0.0
ZIM-TEST-300063,Sekai Zhou,Manufacturing,Masvingo,139802.72,2,98.85,0.1427,12889.43,0,0.0
ZIM-TEST-300064,Nomsa Dube,Tourism,Bulawayo,104931.59,1,98.42,0.1188,1303.79,1,0.0
ZIM-TEST-300065,Chipo Musoni,Mining,Mash West,86765.08,0,96.78,0.1154,952.0,0,0.0
ZIM-TEST-300066,Chipo Chigumba,Tourism,Manicaland,243356.91,1,84.22,0.1403,16908.13,1,0.0
ZIM-TEST-300067,Chipo Ndlovu,Mining,Mash West,21537.75,1,95.91,0.1095,5204.37,0,0.0
ZIM-TEST-300068,Takudzwa Chirau,Agriculture,Masvingo,41486.99,0,71.06,0.106,11797.9,0,1.0
ZIM-TEST-300069,Tatenda Mapfumo,Agriculture,Bulawayo,41409.39,3,72.16,0.1003,4769.62,0,6.0
ZIM-TEST-300070,Thandiwe Mapfumo,Manufacturing,Harare,38111.67,1,91.66,0.1525,3535.48,0,0.0
ZIM-TEST-300071,Farai Gara,Services,Masvingo,100471.49,3,80.12,0.1508,9499.72,1,0.0
ZIM-TEST-300072,Tendai Gumbo,Mining,Bulawayo,359361.41,1,80.49,0.1087,4396.78,2,0.0
ZIM-TEST-300073,Munyaradzi Gara,Manufacturing,Manicaland,64838.09,1,83.34,0.1002,3392.39,0,0.0
ZIM-TEST-300074,Chipo Chirau,Mining,Manicaland,93339.66,1,87.41,0.1245,5715.74,0,0.0
ZIM-TEST-300075,Shingai Ncube,Mining,Midlands,107739.85,2,75.37,0.1467,32887.68,0,0.0
ZIM-TEST-300076,Ruvimbo Gara,Mining,Harare,140419.2,1,87.58,0.1279,4201.1,0,0.0
ZIM-TEST-300077,Farai Moyo,Manufacturing,Midlands,52226.76,0,72.02,0.1395,8571.51,0,0.0
ZIM-TEST-300078,Nomsa Gara,Retail,Mash West,77796.96,3,90.67,0.1249,6199.33,0,0.0
ZIM-TEST-300079,Farai Mapfumo,Manufacturing,Midlands,258188.72,2,85.6,0.1022,601.4,0,0.0
ZIM-TEST-300080,Thandiwe Chirau,Retail,Midlands,102988.52,0,79.63,0.1044,3343.48,0,0.0
ZIM-TEST-300081,Tinashe Gara,Manufacturing,Bulawayo,134921.64,0,98.0,0.1323,9334.35,2,0.0
ZIM-TEST-300082,Chipo Musoni,Tourism,Mash West,53905.06,2,70.62,0.1541,735.9,3,7.0
ZIM-TEST-300083,Farai Mutasa,Agriculture,Masvingo,49381.22,1,73.66,0.1476,20924.03,0,0.0
ZIM-TEST-300084,Sekai Musoni,Retail,Mash West,77466.35,2,92.48,0.1178,3571.83,1,0.0
ZIM-TEST-300085,Nomsa Musoni,Mining,Bulawayo,21965.72,1,90.44,0.1371,9946.05,0,0.0
ZIM-TEST-300086,Nomsa Mpofu,Tourism,Midlands,80686.02,1,92.68,0.1382,4441.6,0,0.0
ZIM-TEST-300087,Chipo Ncube,Agriculture,Bulawayo,64066.71,4,95.81,0.1212,2138.06,0,2.0
ZIM-TEST-300088,Chipo Gara,Tourism,Masvingo,14183.12,0,72.28,0.1593,2948.07,0,0.0
ZIM-TEST-300089,Nyasha Musoni,Manufacturing,Harare,19683.57,1,90.74,0.1544,8653.74,0,0.0
ZIM-TEST-300090,Thandiwe Mutasa,Services,Masvingo,105166.76,0,98.39,0.1371,17972.94,1,0.0
ZIM-TEST-300091,Tinashe Moyo,Retail,Mash West,178362.43,1,86.72,0.1544,2113.9,0,0.0
ZIM-TEST-300092,Tendai Dube,Agriculture,Harare,56530.56,2,98.77,0.1296,8759.99,1,0.0
ZIM-TEST-300093,Munyaradzi Ncube,Manufacturing,Mash West,77332.97,2,74.22,0.1157,4538.01,0,0.0
ZIM-TEST-300094,Thandiwe Marange,Manufacturing,Harare,193880.46,3,72.19,0.1314,1805.13,0,2.0
ZIM-TEST-300095,Tatenda Gara,Retail,Midlands,98003.05,0,74.48,0.1071,27514.75,1,0.0
ZIM-TEST-300096,Takudzwa Ncube,Retail,Bulawayo,225610.73,1,94.9,0.1012,7460.15,0,0.0
ZIM-TEST-300097,Sekai Zhou,Services,Midlands,95640.23,2,96.82,0.1061,17311.04,0,0.0
ZIM-TEST-300098,Farai Chirau,Mining,Midlands,42512.78,2,85.52,0.1378,6608.26,0,0.0
ZIM-TEST-300099,Chipo Ncube,Tourism,Bulawayo,145148.74,0,80.58,0.141,5437.02,0,0.0
ZIM-TEST-300100,Tinashe Marange,Retail,Masvingo,58862.68,3,91.68,0.1307,325.15,0,0.0
ZIM-TEST-300101,Nyasha Musoni,Manufacturing,Manicaland,19972.01,2,88.61,0.123,32533.94,2,0.0
ZIM-TEST-300102,Ruvimbo Marange,Mining,Mash West,65406.42,3,73.45,0.1539,2639.45,0,1.0
ZIM-TEST-300103,Shingai Ndlovu,Retail,Midlands,57044.48,1,73.13,0.1225,683.64,0,0.0
ZIM-TEST-300104,Tinashe Gara,Agriculture,Masvingo,120016.4,2,76.52,0.1352,6583.44,1,0.0
ZIM-TEST-300105,Nyasha Chigumba,Services,Manicaland,106614.38,2,82.08,0.1008,3430.24,1,0.0
ZIM-TEST-300106,Farai Mpofu,Tourism,Masvingo,179918.55,1,89.82,0.1309,3132.37,1,1.0
ZIM-TEST-300107,Ruvimbo Chirau,Services,Mash West,19856.79,2,85.26,0.1461,362.14,0,0.0
ZIM-TEST-300108,Munyaradzi Mpofu,Manufacturing,Manicaland,91076.87,5,96.28,0.1161,21552.1,0,3.0
ZIM-TEST-300109,Farai Mapfumo,Manufacturing,Manicaland,55316.62,1,89.69,0.1115,27904.88,1,0.0
ZIM-TEST-300110,Farai Ncube,Tourism,Mash West,204685.39,1,70.55,0.1397,14813.25,0,0.0
ZIM-TEST-300111,Sekai Mpofu,Mining,Midlands,159045.76,1,78.0,0.1422,3270.24,0,0.0
ZIM-TEST-300112,Kumbirai Ndlovu,Retail,Midlands,14286.5,3,99.77,0.1172,1744.7,0,0.0
ZIM-TEST-300113,Blessing Gumbo,Manufacturing,Harare,62936.63,3,73.04,0.1376,3706.67,0,1.0
ZIM-TEST-300114,Blessing Sibanda,Mining,Mash West,108748.0,0,98.68,0.123,1597.74,0,0.0
ZIM-TEST-300115,Sekai Gara,Retail,Manicaland,133133.39,1,73.95,0.1396,8701.64,0,0.0
ZIM-TEST-300116,Ruvimbo Mapfumo,Tourism,Manicaland,117694.35,1,94.91,0.1381,886.51,0,0.0
ZIM-TEST-300117,Blessing Chigumba,Mining,Bulawayo,32238.18,2,90.05,0.1077,2741.53,0,0.0
ZIM-TEST-300118,Sekai Zhou,Retail,Mash West,22908.21,4,86.27,0.1442,2979.92,0,1.0
ZIM-TEST-300119,Tinashe Dube,Agriculture,Manicaland,134726.66,1,90.68,0.1262,4364.54,0,0.0
ZIM-TEST-300120,Farai Chirau,Agriculture,Masvingo,130735.05,2,98.46,0.1054,17027.24,0,0.0
ZIM-TEST-300121,Nomsa Chigumba,Services,Midlands,87658.91,1,70.1,0.1437,2186.27,0,1.0
ZIM-TEST-300122,Tatenda Musoni,Mining,Mash West,102756.02,1,94.43,0.1349,2640.75,0,0.0
ZIM-TEST-300123,Munyaradzi Chigumba,Manufacturing,Masvingo,19020.04,3,76.24,0.1089,2601.22,0,1.0
ZIM-TEST-300124,Tatenda Mapfumo,Mining,Midlands,57432.0,0,73.7,0.1162,1279.22,0,0.0
ZIM-TEST-300125,Takudzwa Marange,Services,Masvingo,122516.44,0,92.58,0.1036,7928.62,0,0.0
ZIM-TEST-300126,Tatenda Chigumba,Services,Bulawayo,114564.31,1,80.16,0.106,24311.16,0,0.0
ZIM-TEST-300127,Tinashe Dube,Retail,Masvingo,82611.87,2,90.44,0.1189,3749.34,0,0.0
ZIM-TEST-300128,Shingai Dube,Agriculture,Masvingo,93396.56,2,88.35,0.114,20025.25,0,0.0
ZIM-TEST-300129,Sekai Chigumba,Manufacturing,Manicaland,70208.77,1,75.85,0.1408,20925.34,1,0.0
ZIM-TEST-300130,Nomsa Mapfumo,Manufacturing,Mash West,40050.35,2,83.02,0.1434,6496.83,2,0.0
ZIM-TEST-300131,Sekai Gumbo,Retail,Manicaland,100290.33,0,78.83,0.1221,15015.69,1,0.0
ZIM-TEST-300132,Shingai Zhou,Manufacturing,Masvingo,60180.55,2,74.22,0.1591,4548.47,0,0.0
ZIM-TEST-300133,Tendai Ncube,Retail,Harare,140594.02,1,93.11,0.1186,49296.88,0,0.0
ZIM-TEST-300134,Tinashe Mpofu,Tourism,Mash West,133306.39,1,77.48,0.1156,5854.01,2,0.0
ZIM-TEST-300135,Thandiwe Mutasa,Mining,Bulawayo,153606.58,1,75.95,0.1445,42301.67,0,1.0
ZIM-TEST-300136,Kumbirai Moyo,Services,Mash West,47278.27,2,70.32,0.1232,16023.28,0,3.0
ZIM-TEST-300137,Munyaradzi Musoni,Services,Bulawayo,20088.22,2,92.36,0.1335,6618.97,0,0.0
ZIM-TEST-300138,Ruvimbo Sibanda,Mining,Midlands,76729.1,3,87.75,0.1579,9434.93,1,1.0
ZIM-TEST-300139,Kumbirai Ndlovu,Mining,Bulawayo,26454.03,0,79.34,0.1451,17872.33,2,0.0
ZIM-TEST-300140,Kumbirai Musoni,Services,Masvingo,175367.24,1,85.9,0.1245,2936.94,1,0.0
ZIM-TEST-300141,Ruvimbo Chigumba,Agriculture,Harare,47236.83,1,93.0,0.1063,12830.14,0,0.0
ZIM-TEST-300142,Nyasha Sibanda,Manufacturing,Mash West,150256.27,3,76.06,0.1283,16252.7,1,0.0
ZIM-TEST-300143,Tatenda Mutasa,Services,Harare,88516.19,3,73.34,0.1114,29651.24,0,1.0
ZIM-TEST-300144,Nomsa Moyo,Tourism,Masvingo,29008.64,2,85.43,0.1432,6641.4,1,0.0
ZIM-TEST-300145,Nomsa Mpofu,Tourism,Mash West,201854.01,1,90.65,0.1019,2488.63,0,0.0
ZIM-TEST-300146,Shingai Mpofu,Manufacturing,Mash West,185175.86,1,75.33,0.1215,3863.27,3,0.0
ZIM-TEST-300147,Blessing Gumbo,Tourism,Bulawayo,74992.7,3,96.66,0.1434,2699.15,0,0.0
ZIM-TEST-300148,Farai Mpofu,Manufacturing,Midlands,44045.17,1,79.04,0.1552,5018.83,0,0.0
ZIM-TEST-300149,Kumbirai Dube,Services,Manicaland,308199.95,1,92.28,0.1392,12215.43,0,0.0
ZIM-TEST-300150,Farai Marange,Manufacturing,Bulawayo,5255.71,2,78.51,0.1321,5625.57,2,0.0
ZIM-TEST-300151,Blessing Gara,Tourism,Midlands,61796.73,1,87.64,0.1084,14526.8,0,0.0
ZIM-TEST-300152,Tatenda Ncube,Tourism,Mash West,45438.78,2,72.83,0.1468,796.36,2,1.0
ZIM-TEST-300153,Kumbirai Moyo,Mining,Bulawayo,58415.1,3,92.39,0.1409,771.08,0,0.0
ZIM-TEST-300154,Ruvimbo Mapfumo,Tourism,Mash West,170496.27,0,78.45,0.1575,167.24,0,0.0
ZIM-TEST-300155,Nomsa Mapfumo,Manufacturing,Mash West,145328.44,1,73.92,0.1498,4537.22,0,0.0
ZIM-TEST-300156,Farai Mpofu,Agriculture,Masvingo,77882.46,1,81.91,0.1073,10413.92,0,0.0
ZIM-TEST-300157,Chipo Mapfumo,Mining,Midlands,37435.59,1,83.73,0.1148,19785.87,0,0.0
ZIM-TEST-300158,Farai Mpofu,Tourism,Bulawayo,172222.81,5,91.76,0.1268,5704.17,0,1.0
ZIM-TEST-300159,Blessing Musoni,Agriculture,Bulawayo,113486.14,0,97.41,0.1276,623.26,0,0.0
ZIM-TEST-300160,Chipo Gumbo,Mining,Midlands,256051.93,4,99.49,0.1597,17295.54,0,6.0
ZIM-TEST-300161,Ruvimbo Ncube,Manufacturing,Manicaland,29178.02,1,75.76,0.1393,1116.33,0,0.0
ZIM-TEST-300162,Ruvimbo Mutasa,Tourism,Midlands,98370.19,5,84.8,0.1403,4013.76,0,9.0
ZIM-TEST-300163,Tatenda Mpofu,Agriculture,Midlands,60382.99,1,91.07,0.1404,7706.06,0,0.0
ZIM-TEST-300164,Munyaradzi Gumbo,Tourism,Masvingo,174376.61,0,76.91,0.1169,3258.72,0,0.0
ZIM-TEST-300165,Ruvimbo Sibanda,Manufacturing,Mash West,213341.31,0,87.54,0.1113,2458.66,0,0.0
ZIM-TEST-300166,Thandiwe Musoni,Services,Bulawayo,125081.94,3,90.43,0.116,159.68,0,0.0
ZIM-TEST-300167,Nyasha Mapfumo,Manufacturing,Harare,186161.26,1,89.33,0.1239,4947.91,0,0.0
ZIM-TEST-300168,Nomsa Ndlovu,Agriculture,Masvingo,161276.68,0,77.6,0.1418,886.54,0,1.0
ZIM-TEST-300169,Tinashe Musoni,Manufacturing,Masvingo,270410.73,3,98.07,0.1408,3126.43,0,0.0
ZIM-TEST-300170,Takudzwa Ncube,Agriculture,Manicaland,55743.09,1,77.47,0.1002,8440.99,0,2.0
ZIM-TEST-300171,Kumbirai Mpofu,Manufacturing,Manicaland,90055.53,2,70.55,0.136,2351.63,0,0.0
ZIM-TEST-300172,Tinashe Chirau,Tourism,Manicaland,161007.71,3,96.28,0.1303,266.46,1,0.0
ZIM-TEST-300173,Sekai Mpofu,Retail,Midlands,126118.31,1,87.28,0.1489,7074.93,1,0.0
ZIM-TEST-300174,Sekai Musoni,Agriculture,Mash West,57005.57,2,83.33,0.1099,40768.31,0,1.0
ZIM-TEST-300175,Kumbirai Moyo,Manufacturing,Manicaland,220708.17,2,79.43,0.1306,14962.42,1,0.0
ZIM-TEST-300176,Tendai Chirau,Services,Masvingo,370004.03,1,71.81,0.1026,12761.13,0,5.0
ZIM-TEST-300177,Munyaradzi Chirau,Manufacturing,Manicaland,108066.67,3,93.14,0.1066,10145.68,0,0.0
ZIM-TEST-300178,Farai Moyo,Retail,Bulawayo,68890.9,3,93.55,0.1038,894.23,0,0.0
ZIM-TEST-300179,Sekai Chirau,Manufacturing,Bulawayo,189432.23,0,72.13,0.1025,4117.18,0,1.0
ZIM-TEST-300180,Thandiwe Chigumba,Tourism,Harare,194269.12,1,70.44,0.1463,3642.42,0,0.0
ZIM-TEST-300181,Tatenda Gumbo,Retail,Mash West,141193.38,0,81.26,0.1255,26696.52,0,0.0
ZIM-TEST-300182,Thandiwe Gumbo,Retail,Harare,186176.3,0,86.09,0.148,29877.25,0,0.0
ZIM-TEST-300183,Tendai Mpofu,Agriculture,Bulawayo,94851.96,5,97.94,0.1027,6655.95,0,4.0
ZIM-TEST-300184,Farai Sibanda,Tourism,Manicaland,131142.77,1,98.32,0.1465,13491.11,0,0.0
ZIM-TEST-300185,Tatenda Sibanda,Services,Masvingo,31996.41,1,80.78,0.1456,3018.1,0,0.0
ZIM-TEST-300186,Tinashe Marange,Tourism,Bulawayo,98609.83,1,94.06,0.1245,3025.33,0,0.0
ZIM-TEST-300187,Tinashe Mapfumo,Mining,Midlands,62585.57,0,90.52,0.1407,10426.29,0,0.0
ZIM-TEST-300188,Tatenda Zhou,Retail,Manicaland,137470.53,1,71.87,0.1292,286.36,1,3.0
ZIM-TEST-300189,Farai Ncube,Mining,Midlands,96196.51,1,88.86,0.1108,299.05,0,0.0
ZIM-TEST-300190,Thandiwe Ndlovu,Manufacturing,Mash West,77321.53,2,96.27,0.1482,12806.97,2,0.0
ZIM-TEST-300191,Takudzwa Zhou,Mining,Midlands,134268.57,1,90.85,0.122,269.94,0,0.0
ZIM-TEST-300192,Sekai Gumbo,Tourism,Bulawayo,137238.23,5,74.32,0.1066,778.79,0,94.0
ZIM-TEST-300193,Ruvimbo Marange,Agriculture,Mash West,51123.69,3,87.91,0.156,26034.56,0,0.0
ZIM-TEST-300194,Tendai Mapfumo,Agriculture,Midlands,106630.27,1,91.08,0.1276,1283.92,1,0.0
ZIM-TEST-300195,Farai Mapfumo,Retail,Midlands,45494.38,1,85.67,0.1464,15910.09,0,0.0
ZIM-TEST-300196,Sekai Mpofu,Tourism,Mash West,46610.65,5,70.13,0.1553,6750.0,0,94.0
ZIM-TEST-300197,Tinashe Mpofu,Agriculture,Masvingo,127129.04,2,86.85,0.1104,1991.52,0,0.0
ZIM-TEST-300198,Kumbirai Mapfumo,Services,Midlands,113290.51,1,89.37,0.1053,9174.48,0,0.0
ZIM-TEST-300199,Chipo Chirau,Tourism,Harare,117527.12,0,70.51,0.1243,13320.42,0,1.0
ZIM-TEST-300200,Takudzwa Mapfumo,Agriculture,Manicaland,82394.26,0,73.49,0.1134,5201.95,0,0.0
ZIM-TEST-300201,Kumbirai Ndlovu,Agriculture,Harare,101138.25,3,74.37,0.1559,3002.87,0,2.0
ZIM-TEST-300202,Kumbirai Dube,Tourism,Harare,76649.89,0,87.46,0.156,4263.99,0,0.0
ZIM-TEST-300203,Farai Mapfumo,Mining,Harare,133331.88,0,74.87,0.1047,3131.58,0,0.0
ZIM-TEST-300204,Takudzwa Dube,Services,Midlands,217391.0,1,71.26,0.143,3445.52,3,0.0
ZIM-TEST-300205,Farai Gumbo,Retail,Midlands,220910.7,2,88.51,0.1399,2153.36,0,0.0
ZIM-TEST-300206,Takudzwa Zhou,Tourism,Manicaland,69805.5,0,80.85,0.139,4047.42,1,0.0
ZIM-TEST-300207,Tatenda Gara,Mining,Harare,56940.96,2,75.03,0.1398,7681.3,1,0.0
ZIM-TEST-300208,Farai Gumbo,Services,Masvingo,100544.26,2,82.91,0.1079,11394.06,0,0.0
ZIM-TEST-300209,Tendai Chirau,Tourism,Masvingo,109551.82,0,98.17,0.1497,1987.44,0,0.0
ZIM-TEST-300210,Tinashe Moyo,Manufacturing,Bulawayo,3916.68,1,79.19,0.1267,7596.93,0,0.0
ZIM-TEST-300211,Sekai Musoni,Retail,Bulawayo,211136.96,2,97.37,0.1136,9257.24,0,0.0
ZIM-TEST-300212,Tatenda Mapfumo,Retail,Mash West,174655.57,0,88.98,0.1578,18780.44,0,0.0
ZIM-TEST-300213,Tendai Musoni,Tourism,Mash West,75388.94,1,92.37,0.1474,14343.54,0,0.0
ZIM-TEST-300214,Chipo Sibanda,Mining,Manicaland,246189.13,1,70.67,0.1583,932.08,0,3.0
ZIM-TEST-300215,Tinashe Marange,Services,Bulawayo,55104.88,0,91.72,0.1179,5040.65,1,0.0
ZIM-TEST-300216,Kumbirai Chirau,Manufacturing,Masvingo,70062.91,3,71.47,0.1115,4680.07,1,84.0
ZIM-TEST-300217,Farai Moyo,Agriculture,Manicaland,262344.43,1,89.98,0.1453,7888.8,1,0.0
ZIM-TEST-300218,Tendai Sibanda,Retail,Mash West,102774.54,3,81.57,0.1378,11497.76,0,0.0
ZIM-TEST-300219,Chipo Gumbo,Manufacturing,Masvingo,55703.03,0,73.61,0.1368,8318.23,0,0.0
ZIM-TEST-300220,Sekai Gara,Manufacturing,Bulawayo,129412.93,1,73.97,0.1061,6162.09,0,0.0
ZIM-TEST-300221,Sekai Gara,Manufacturing,Midlands,34421.3,0,87.69,0.1469,11298.12,0,0.0
ZIM-TEST-300222,Nyasha Dube,Manufacturing,Mash West,74994.4,0,80.44,0.1383,35686.74,0,0.0
ZIM-TEST-300223,Farai Gumbo,Services,Masvingo,198468.73,1,81.21,0.1191,9727.2,3,0.0
ZIM-TEST-300224,Sekai Mapfumo,Agriculture,Mash West,35997.49,1,89.31,0.1069,2591.75,0,0.0
ZIM-TEST-300225,Tatenda Zhou,Mining,Masvingo,27082.39,1,94.49,0.1312,5283.65,0,0.0
ZIM-TEST-300226,Thandiwe Marange,Retail,Bulawayo,44295.87,0,70.19,0.1416,8238.11,0,3.0
ZIM-TEST-300227,Tinashe Gara,Agriculture,Manicaland,36892.61,2,88.21,0.1273,2396.61,0,0.0
ZIM-TEST-300228,Farai Chirau,Tourism,Harare,86788.92,1,87.93,0.11,6726.6,0,0.0
ZIM-TEST-300229,Chipo Moyo,Mining,Mash West,21888.22,1,79.01,0.1241,23011.67,2,1.0
ZIM-TEST-300230,Nomsa Ndlovu,Tourism,Harare,169558.38,0,92.93,0.131,15738.09,0,0.0
